CustomerID,CustomerName,Region,Email
101,Lucas Silva,Sudeste,lucas.silva@email.com
102,Ana Costa,Sul,ana.costa@email.com
103,João Pereira,Nordeste,joao.pereira@email.com
104,Maria Souza,Sudeste,maria.souza@email.com
105,Pedro Lima,Centro-Oeste,pedro.lima@email.com
106,Carla Rocha,Sul,carla.rocha@email.com
107,Lucas Martins,Nordeste,lucas.martins@email.com
108,Fernanda Alves,Sudeste,fernanda.alves@email.com
109,Marcos Oliveira,Sul,marcos.oliveira@email.com
110,Juliana Santos,Centro-Oeste,juliana.santos@email.com
111,Rafael Costa,Sudeste,rafael.costa@email.com
112,Patricia Lima,Nordeste,patricia.lima@email.com
